pitcher,player_name,p_throws,pitch_type,pitches,stuff_plus,whiff_pct,barrel_pct,xwoba_against,avg_velo,avg_ivb,avg_hb
642121,"Sulser, Cole",R,FC,58,103.9,15.5,1.7,0.129,87.4,8.2,4.0
678692,"Henriquez, Ronny",R,CH,98,103.9,26.5,1.0,0.092,91.7,3.3,-16.7
682847,"Ortiz, Luis",R,FC,106,103.9,13.2,1.9,0.108,91.2,9.1,0.5
518585,"Cruz, Fernando",R,SI,62,103.9,6.5,0.0,0.138,93.2,13.4,-14.5
593423,"Montas, Frankie",R,SI,88,103.9,6.8,0.0,0.143,95.1,9.8,-14.9
669461,"Liberatore, Matthew",L,CU,229,103.9,20.5,0.4,0.052,77.5,-17.9,-9.6
642547,"Peralta, Freddy",R,FF,1116,103.9,17.2,1.1,0.093,94.7,16.8,-4.9
681347,"Burrows, Mike",R,SI,99,103.9,8.1,1.0,0.104,95.2,11.7,-14.5
669373,"Skubal, Tarik",L,SI,526,103.9,12.4,1.0,0.09,97.3,13.5,13.3
677960,"Weathers, Ryan",L,FF,240,103.9,14.6,2.5,0.116,96.8,15.9,10.2
657277,"Webb, Logan",R,FF,157,103.9,29.9,0.6,0.06,92.8,10.4,-9.1
666200,"Luzardo, Jesús",L,CH,346,103.9,32.7,0.3,0.108,87.8,6.9,16.3
608718,"Suter, Brent",L,SI,206,103.9,8.7,0.0,0.073,88.9,12.6,11.5
693645,"Schlittler, Cam",R,FC,190,103.8,21.6,0.5,0.082,92.3,6.4,7.0
624133,"Suarez, Ranger",L,CH,302,103.8,30.8,0.3,0.111,79.6,3.4,10.8
688158,"Morgan, David",R,CU,126,103.8,36.5,0.0,0.057,82.9,-10.2,9.6
686973,"Varland, Louis",R,KC,273,103.8,33.0,0.4,0.103,87.9,-6.1,3.5
688297,"Roycroft, Chris",R,SI,125,103.8,12.8,0.8,0.122,95.4,3.2,-16.8
662253,"Muñoz, Andrés",R,SI,80,103.7,7.5,0.0,0.087,97.7,6.2,-16.8
666157,"Lodolo, Nick",L,FF,432,103.7,18.5,0.7,0.092,93.9,9.0,16.9
641329,"Baker, Bryan",R,CH,200,103.7,28.5,0.5,0.083,84.7,8.0,-14.5
593423,"Montas, Frankie",R,FS,77,103.7,31.2,1.3,0.103,86.1,3.0,-11.4
667755,"Soriano, José",R,KC,470,103.7,26.4,0.4,0.059,85.3,-9.6,12.4
680885,"Schwellenbach, Spencer",R,FS,118,103.7,39.8,0.8,0.112,84.6,0.3,-9.3
820862,"Fermin, José",R,SL,187,103.7,32.6,0.0,0.061,89.6,1.7,-0.1
